Transaction_ID,Customer_ID,Card_Category,Quarter,Expense_Type,Use_Method,Transaction_Amount,Interest_Earned,Annual_Fee
1,212,Blue,Q1,Food,Chip,28.86,0.43,50
2,126,Silver,Q4,Food,Chip,170.13,2.55,75
3,413,Silver,Q3,Food,Swipe,249.39,3.74,75
4,499,Silver,Q4,Fuel,Swipe,335.34,5.03,75
5,425,Blue,Q1,Fuel,Online,9.07,0.14,50
6,554,Silver,Q1,Fuel,Swipe,26.42,0.4,75
7,610,Blue,Q4,Fuel,Swipe,290.67,4.36,50
8,961,Blue,Q1,Bills,Swipe,274.96,4.12,50
9,543,Platinum,Q2,Fuel,Swipe,285.58,4.28,200
10,158,Blue,Q3,Entertainment,Swipe,53.04,0.8,50
11,112,Silver,Q3,Food,Swipe,221.94,3.33,75
12,402,Blue,Q1,Bills,Swipe,165.07,2.48,50
13,759,Silver,Q3,Travel,Swipe,302.56,4.54,75
14,122,Silver,Q2,Fuel,Chip,87.73,1.32,75
15,273,Blue,Q1,Travel,Online,291.72,4.38,50
16,294,Blue,Q2,Food,Swipe,184.44,2.77,50
17,398,Silver,Q2,Bills,Chip,188.06,2.82,75
18,471,Blue,Q3,Food,Swipe,168.68,2.53,50
19,985,Blue,Q3,Travel,Swipe,185.86,2.79,50
20,207,Silver,Q4,Bills,Online,311.75,4.68,75
21,110,Blue,Q2,Grocery,Swipe,307.09,4.61,50
22,440,Gold,Q3,Bills,Swipe,72.2,1.08,120
23,278,Blue,Q2,Fuel,Swipe,782.25,11.73,50
24,963,Blue,Q4,Travel,Chip,158.88,2.38,50
25,568,Silver,Q2,Food,Swipe,653.68,9.81,75
26,887,Blue,Q1,Food,Swipe,369.37,5.54,50
27,915,Blue,Q4,Food,Chip,36.15,0.54,50
28,569,Blue,Q4,Entertainment,Swipe,730.04,10.95,50
29,940,Blue,Q2,Entertainment,Swipe,454.43,6.82,50
30,482,Blue,Q2,Fuel,Swipe,192.77,2.89,50
31,803,Blue,Q3,Grocery,Swipe,354.6,5.32,50
32,114,Blue,Q1,Entertainment,Swipe,72.4,1.09,50
33,893,Blue,Q4,Bills,Chip,125.18,1.88,50
34,897,Silver,Q4,Travel,Chip,167.71,2.52,75
35,820,Silver,Q4,Fuel,Swipe,234.79,3.52,75
36,853,Blue,Q3,Grocery,Swipe,91.35,1.37,50
37,477,Silver,Q1,Bills,Swipe,366.71,5.5,75
38,710,Gold,Q4,Food,Swipe,39.88,0.6,120
39,933,Blue,Q4,Entertainment,Swipe,273.47,4.1,50
40,321,Silver,Q3,Bills,Swipe,365.36,5.48,75
41,179,Blue,Q2,Grocery,Swipe,986.04,14.79,50
42,897,Gold,Q4,Fuel,Swipe,316.59,4.75,120
43,219,Blue,Q1,Bills,Swipe,99.96,1.5,50
44,789,Blue,Q1,Fuel,Swipe,147.53,2.21,50
45,949,Silver,Q1,Food,Swipe,163.65,2.45,75
46,528,Blue,Q1,Grocery,Swipe,569.03,8.54,50
47,492,Blue,Q3,Grocery,Chip,445.0,6.68,50
48,891,Blue,Q4,Entertainment,Swipe,801.52,12.02,50
49,61,Blue,Q3,Travel,Swipe,347.07,5.21,50
50,54,Silver,Q1,Grocery,Swipe,507.25,7.61,75
51,680,Gold,Q1,Bills,Swipe,49.88,0.75,120
52,538,Blue,Q1,Bills,Chip,209.62,3.14,50
53,848,Blue,Q3,Bills,Online,638.86,9.58,50
54,988,Silver,Q1,Food,Swipe,323.43,4.85,75
55,65,Blue,Q4,Grocery,Chip,443.37,6.65,50
56,612,Silver,Q1,Grocery,Swipe,109.1,1.64,75
57,586,Blue,Q4,Bills,Swipe,406.22,6.09,50
58,704,Blue,Q4,Entertainment,Swipe,275.33,4.13,50
59,171,Blue,Q1,Entertainment,Chip,113.9,1.71,50
60,273,Blue,Q3,Grocery,Swipe,245.03,3.68,50
61,889,Blue,Q2,Grocery,Online,497.29,7.46,50
62,699,Blue,Q2,Fuel,Swipe,76.73,1.15,50
63,535,Blue,Q4,Grocery,Swipe,282.85,4.24,50
64,391,Blue,Q3,Bills,Chip,609.76,9.15,50
65,940,Blue,Q2,Travel,Chip,301.76,4.53,50
66,693,Blue,Q1,Food,Chip,363.23,5.45,50
67,327,Blue,Q1,Grocery,Chip,371.98,5.58,50
68,108,Blue,Q4,Grocery,Swipe,12.17,0.18,50
69,847,Blue,Q3,Bills,Swipe,330.31,4.95,50
70,162,Silver,Q3,Fuel,Swipe,726.28,10.89,75
